Village,Taluka,Area_Acre,Soil_Type,Soil_Quality_Score,Land_Type,Irrigated,Road_Touch,Road_Width_Ft,Distance_To_Highway_KM,Water_Source,Number_Of_Owners,Unknown_Registrations,Takeover_Risk,Avg_Price_Per_Acre_Nearby,Price_Per_Acre
Pathardi,Nashik,14.74,Black_Red_Mixed,5,Agricultural,1,1,89,2.2,None,9,0,1,442500,427500
Anandwalli,Nashik,10.47,Red,4,Agricultural,0,1,82,26.8,None,3,2,1,226500,246500
Palkhed,Niphad,12.32,Black_Red_Mixed,6,Agricultural,0,1,36,22.9,Borewell,3,3,0,210500,200000
Shirasgaon,Yeola,15.46,Black_Red_Mixed,8,Agricultural,1,0,78,6.1,Well,1,2,0,118500,122000
Sinnar,Sinnar,17,Black_Red_Mixed,6,Agricultural,1,1,23,11.6,Canal,3,0,1,227000,239500
Anandwalli,Nashik,11.53,Black_Red_Mixed,7,Agricultural,1,0,72,10.8,Borewell,7,0,0,641500,600000
Shirasgaon,Yeola,5.48,Black,8,Agricultural,1,1,58,26.3,Borewell,9,4,0,113000,112500
Nandgaon,Chandwad,16.43,Black,7,Agricultural,1,1,70,21.1,Borewell,1,2,0,102000,79000
Mhasrul,Niphad,6.93,Black_Red_Mixed,6,Agricultural,1,1,89,3.6,Borewell,2,3,0,353000,327500
Abhona,Niphad,20.83,Red,5,Residential,0,0,73,27.3,Canal,8,2,0,505500,496500
Palkhed,Niphad,22.7,Red,6,Agricultural,0,1,22,27.2,Canal,8,2,0,236500,216000
Vadner,Niphad,21.88,Red,5,Residential,0,1,22,25.6,None,1,1,0,355500,396000
Devpur,Niphad,22.39,Red,5,Residential,0,1,33,3.5,Well,8,2,1,467500,420500
Malegaon,Sinnar,20.05,Black_Red_Mixed,6,Agricultural,1,0,30,3.2,None,8,4,0,132000,128000
Pimpalgaon Baswant,Niphad,19.53,Black_Red_Mixed,6,Agricultural,1,1,66,1.5,Borewell,6,0,0,400000,400000
Jategaon,Sinnar,18.16,Black,9,Agricultural,1,1,65,19.9,Borewell,6,5,0,211000,232500
Waghad,Nashik,22.33,Black_Red_Mixed,5,NA,0,1,73,26.1,Borewell,8,2,0,870500,783000
Harsul,Chandwad,12.8,Black_Red_Mixed,8,Agricultural,0,1,83,13.5,None,8,2,0,56000,60500
Nashik Road,Nashik,2.79,Black_Red_Mixed,5,Residential,1,1,91,9.2,Canal,4,5,0,1400000,1401000
Deher,Chandwad,20.68,Red,6,Agricultural,1,1,94,11,Well,2,5,0,81500,76000
Anandwalli,Nashik,13.81,Black,7,Agricultural,0,0,62,3.3,Canal,4,0,1,498500,514500
Ozar,Nashik,20.66,Black,9,Agricultural,1,1,96,17.7,River,8,3,0,692000,701500
Uchit,Chandwad,24.11,Black,7,NA,1,1,75,23.5,None,10,1,0,138000,132000
Pimpalgaon Baswant,Niphad,16.52,Black_Red_Mixed,7,Agricultural,1,1,98,22.9,Borewell,6,2,0,319500,321000
Thengode,Niphad,15.16,Red,7,Agricultural,1,1,80,19,Borewell,10,5,0,265500,258500
Gangapur,Nashik,24.54,Black_Red_Mixed,6,Agricultural,1,1,24,22.8,Canal,10,4,1,453500,457000
Chandrapur,Yeola,7.33,Red,3,Agricultural,0,0,95,1.8,Borewell,3,2,0,92000,96500
Lasalgaon,Niphad,17.34,Black,7,Agricultural,1,1,96,22.2,None,9,3,0,197000,219000
Nimgaon,Yeola,17.4,Black,10,Agricultural,1,1,50,29,Borewell,5,1,0,142500,130000
Shedbol,Yeola,20.79,Red,5,Residential,1,1,34,8.9,Borewell,2,1,1,212000,243500
Pachegaon,Yeola,9.59,Black_Red_Mixed,7,Agricultural,1,0,52,14,None,1,1,1,62000,53500
Wavi,Sinnar,21.12,Black,9,Agricultural,1,1,33,15.7,River,3,3,0,247000,244500
Peth,Nashik,5.72,Black,9,Agricultural,0,1,89,16,None,1,0,0,392500,408500
Girnare,Nashik,22.99,Black,7,NA,0,1,24,11.6,Canal,5,0,1,938500,957000
Sonaj,Yeola,12.98,Black_Red_Mixed,8,Agricultural,1,0,75,2.6,Borewell,9,4,0,125000,119500
Ozar,Niphad,21.66,Black_Red_Mixed,5,Agricultural,1,1,65,19.4,None,3,0,0,209500,206500
Satpur,Nashik,2.06,Black,9,NA,1,0,43,12.3,Well,7,3,0,990500,956500
Ambad,Nashik,13.49,Black_Red_Mixed,5,Residential,1,1,19,10.8,Canal,5,5,0,1284500,1231500
Kasbe Sukene,Niphad,9.69,Red,3,Agricultural,1,0,60,23.9,River,5,5,0,193000,204500
Chandanpuri,Sinnar,23.95,Black,8,Agricultural,0,1,78,16.5,Borewell,4,5,0,161000,165000
Karanjkhed,Yeola,10.46,Black_Red_Mixed,6,Agricultural,0,1,34,3.5,Canal,10,0,1,108500,103000
Talegaon,Chandwad,11.67,Black_Red_Mixed,7,NA,0,0,84,14.7,Well,3,5,0,104500,111000
Kasarwadi,Niphad,1.98,Black,10,Agricultural,1,1,84,4.7,Canal,6,3,0,400000,400000
Adgaon,Nashik,17.88,Black_Red_Mixed,7,Residential,0,1,71,13.9,Well,5,3,0,1243000,1313500
Kasarwadi,Niphad,2.28,Black,8,Residential,0,1,90,2.4,Borewell,1,4,0,687500,718000
Borwadi,Yeola,10.28,Black_Red_Mixed,5,NA,1,1,70,19.7,Borewell,7,1,1,197000,185500
Tarsa,Sinnar,3.56,Black_Red_Mixed,5,Agricultural,1,1,88,20.6,River,3,3,0,217500,209000
Jategaon,Sinnar,16.57,Red,6,Commercial,0,1,39,2,Well,1,5,0,722500,760500
Deher,Chandwad,9.86,Red,3,Agricultural,1,0,76,19,Borewell,5,4,0,66500,69500
Pimpalgaon Baswant,Niphad,9.29,Black_Red_Mixed,5,Agricultural,1,1,76,12.2,River,6,3,0,302500,302000
Chandwad,Chandwad,12.67,Black,8,Agricultural,1,0,29,5.7,Well,2,5,0,76500,77000
Pachegaon,Yeola,12.17,Black_Red_Mixed,6,NA,1,1,41,1.4,Canal,3,1,0,300000,300000
Darna,Niphad,3.88,Black,8,Agricultural,1,1,91,0.7,River,5,0,0,400000,383500
Malegaon,Sinnar,21.72,Black,10,NA,1,1,33,18.7,Canal,3,5,0,529500,550000
Mohadi,Chandwad,14.87,Black,10,Agricultural,0,1,74,20.6,River,10,0,0,102000,100500
Mohadi,Chandwad,1.22,Red,7,Residential,0,1,87,16.2,Borewell,7,4,0,172000,169500
Raipur,Chandwad,10.87,Red,6,Residential,1,1,99,17.3,Well,5,3,0,177500,191000
Vani,Chandwad,7.26,Red,6,Agricultural,0,1,10,17.4,Borewell,1,3,0,68000,72000
Mungse,Sinnar,10.37,Black,10,NA,0,1,64,17,Canal,7,1,0,534500,565000
Umrane,Yeola,4.67,Black_Red_Mixed,8,Agricultural,0,1,100,12,Borewell,2,5,0,91000,99500
Pimpalgaon Rotha,Yeola,2.73,Black_Red_Mixed,7,Residential,1,1,16,4.9,None,1,0,1,167000,167000
Girnare,Nashik,11.03,Black,8,Agricultural,1,1,61,18.5,Canal,10,0,1,646000,677000
Umrane,Yeola,11.11,Black,9,Agricultural,1,1,99,7,Borewell,1,2,0,150000,146500
Vadner,Niphad,2.4,Black,10,Agricultural,1,1,76,0.6,River,2,4,0,400000,400000
Borwadi,Yeola,8.87,Red,5,Agricultural,1,1,61,17.3,Borewell,7,4,0,103500,102500
Saundane,Niphad,8.66,Black,9,Residential,1,1,98,13.3,Well,8,1,0,706000,711000
Thergaon,Chandwad,17.12,Red,3,Agricultural,0,1,38,20.3,Borewell,6,3,1,49500,51500
Sinnar,Sinnar,17.6,Black,9,Agricultural,1,1,19,16.7,Borewell,6,2,0,246000,232000
Mulegaon,Sinnar,23.69,Black_Red_Mixed,6,Agricultural,0,1,43,6.3,Borewell,4,4,0,173000,198500
Pachegaon,Yeola,23.02,Black_Red_Mixed,8,NA,1,1,15,25.5,Well,6,3,1,170500,158500
Kelzar,Chandwad,21.75,Black_Red_Mixed,7,Agricultural,1,0,77,24,Well,9,0,0,88500,81000
Dwarka,Nashik,11.57,Black,10,Agricultural,0,1,58,17.5,Well,10,2,0,493500,533500
Pathardi,Nashik,11.92,Black_Red_Mixed,7,Agricultural,1,1,57,11,Well,8,1,0,638000,673500
Mangi,Chandwad,20.4,Black_Red_Mixed,6,NA,1,0,29,14.2,Borewell,7,3,0,152500,159000
Raipur,Chandwad,13.47,Black,10,Agricultural,1,1,60,3.1,Borewell,4,2,0,120000,120000
Shirsathe,Sinnar,18.68,Black,9,NA,1,0,12,12.4,Well,10,1,0,467000,466500
Chinchpada,Sinnar,4.57,Red,5,Agricultural,1,1,67,26.7,Well,5,3,0,183500,172000
Vadner,Niphad,16.1,Red,6,NA,1,1,19,2.5,Well,6,2,0,642500,646000
Wakad,Yeola,16.2,Black,10,Residential,1,1,76,29,Well,3,0,0,294000,280000
Pathardi,Nashik,23.53,Black_Red_Mixed,5,Agricultural,1,0,70,16.5,Borewell,7,4,0,449500,480000
Abhona,Niphad,15.55,Black,10,Agricultural,0,0,90,3.9,Canal,3,0,0,345000,341500
Trimbak Road,Nashik,21.64,Black_Red_Mixed,7,Agricultural,0,1,79,5.4,Canal,10,3,0,583500,550000
Tarsa,Sinnar,22.75,Black_Red_Mixed,6,Residential,1,1,43,4.8,Borewell,9,1,0,587000,574000
Nashik Road,Nashik,17.27,Black_Red_Mixed,8,Agricultural,1,1,86,7,Borewell,6,1,0,791000,800000
Devdhari,Sinnar,6.43,Black_Red_Mixed,8,Residential,0,0,90,7.3,River,10,5,0,405500,389500
Waghad,Nashik,20.27,Black_Red_Mixed,5,Agricultural,0,1,89,13.6,River,8,1,0,519500,489500
Bhojapur,Niphad,0.8,Red,5,Agricultural,1,1,39,2.8,Borewell,4,2,0,349000,355000
Umrane,Yeola,24.95,Black_Red_Mixed,5,Agricultural,1,1,17,8.1,Well,9,3,0,105500,107500
Nagarsul,Chandwad,20.48,Red,3,Commercial,1,1,66,7.5,None,4,3,0,198000,191000
Ozar,Niphad,11.95,Black_Red_Mixed,7,Commercial,0,1,80,15.7,Borewell,5,1,0,1132000,1094500
Ozar,Niphad,24.34,Black,10,Agricultural,0,0,25,11.9,Borewell,1,4,0,206500,210000
Girnare,Nashik,4.09,Red,4,Agricultural,0,1,90,1.9,Well,3,5,0,421500,379000
Watane,Niphad,6.01,Red,5,Residential,1,0,98,11.4,River,5,0,0,633500,571000
Anandwalli,Nashik,13.68,Black_Red_Mixed,6,Agricultural,0,1,86,27.4,Canal,2,4,0,447000,424500
Pathardi,Nashik,13.65,Black_Red_Mixed,8,Residential,1,1,56,23.3,Borewell,2,5,1,1087000,1071000
Karanjkhed,Yeola,13.22,Black_Red_Mixed,6,NA,0,1,24,3,Canal,1,1,0,245500,251000
Chandori,Niphad,12.26,Black,10,NA,1,1,42,1.6,Borewell,2,0,1,788000,800000
Watane,Niphad,23.23,Red,6,Residential,0,1,63,24.7,River,1,4,0,520000,551000
Palkhed,Niphad,20.9,Black,8,Commercial,0,1,78,11.6,Borewell,4,4,0,1002500,991500
Bhojapur,Niphad,10.53,Black,9,NA,1,1,23,5.1,Borewell,7,4,0,653000,652000
Kasarwadi,Niphad,11.21,Black,9,NA,1,1,62,22.9,Well,6,4,0,533500,496000
Devdhari,Sinnar,19.2,Red,5,Agricultural,1,1,10,21.8,None,10,0,0,147500,147500
Umrane,Chandwad,0.41,Red,4,Residential,0,1,98,24.7,None,9,4,0,98500,96500
Saikheda,Sinnar,1.18,Black,8,Agricultural,1,0,42,24.4,Borewell,7,4,1,146500,150000
Nampur,Yeola,19.87,Black,7,NA,0,1,83,11.5,River,6,2,1,172000,162000
Ambad,Nashik,21.78,Black,7,NA,1,0,77,1.3,Canal,3,2,0,1512500,1567500
Deolali,Nashik,16.92,Red,6,Residential,1,0,65,8.8,Well,3,2,0,1236000,1368500
Nandur Madhyameshwar,Sinnar,13.82,Black,10,Agricultural,1,0,27,14.5,Borewell,7,5,0,185000,183500
Khambale,Sinnar,6.34,Black,10,Agricultural,1,0,95,12.5,Well,4,2,0,222500,229000
Tarsa,Sinnar,4.44,Black,10,NA,1,1,39,6.1,Well,2,0,0,600000,600000
Girnare,Nashik,23.19,Red,5,Agricultural,1,0,67,14.2,Well,9,1,0,493500,479500
Pale,Sinnar,13.83,Black_Red_Mixed,6,NA,1,1,94,15.9,Borewell,1,2,0,538500,547000
Pale,Sinnar,1.56,Black_Red_Mixed,5,Agricultural,1,1,94,10.9,Borewell,5,5,0,198000,198000
Raipur,Chandwad,24.42,Black,9,Agricultural,1,0,35,15.1,Well,1,0,0,94500,95000
Mungse,Sinnar,12.38,Black_Red_Mixed,5,Agricultural,1,1,40,29.9,None,5,0,0,149500,141500
Chandwad,Chandwad,23.62,Red,4,Agricultural,1,1,21,21.9,Canal,10,5,0,77500,77500
Panchak,Nashik,4.03,Red,7,Agricultural,1,0,27,17.5,Canal,4,1,0,596000,617000
Dhodambe,Yeola,22.76,Black_Red_Mixed,6,NA,1,0,18,16.8,None,2,1,0,133500,147000
Chandwad,Chandwad,19.19,Red,6,Commercial,0,1,91,28,Borewell,4,0,0,357000,381000
Kasarwadi,Niphad,15.52,Black_Red_Mixed,6,NA,0,0,20,20.7,Well,9,4,0,299500,344500
Mulegaon,Sinnar,21.34,Black_Red_Mixed,6,Agricultural,0,1,11,27.8,None,4,5,0,87500,83000
Ozar,Niphad,1.89,Red,6,Residential,1,1,68,26.6,Well,1,4,0,502000,532500
Trimbak Road,Nashik,10.01,Red,7,NA,1,1,14,15.7,Well,1,1,0,1143500,1158000
Deolali,Nashik,14.05,Black_Red_Mixed,5,Agricultural,1,1,46,13.9,Well,10,0,0,595500,687000
Thergaon,Chandwad,20.79,Black_Red_Mixed,5,Agricultural,1,1,79,4.1,Well,8,0,0,115500,109000
Kherwadi,Sinnar,22.09,Black,9,NA,1,1,25,2.8,River,6,0,0,600000,564500
Pimpalgaon Khamb,Nashik,15.4,Black,10,Agricultural,0,1,94,25.9,Borewell,3,1,0,574000,550000
Saundane,Niphad,7.91,Red,6,Agricultural,0,1,35,0.2,River,1,3,0,298000,253500
Nashik Road,Nashik,15.3,Black_Red_Mixed,6,NA,1,1,20,18.1,Borewell,9,2,0,1136500,1094500
Kherwadi,Sinnar,1.46,Black,9,Agricultural,1,1,87,9,None,1,0,0,205000,194000
Saundane,Niphad,15.37,Black_Red_Mixed,6,Commercial,1,1,14,2.9,Borewell,6,3,1,975000,985500
Chandrapur,Yeola,1.86,Black_Red_Mixed,5,NA,0,1,77,6.4,Borewell,1,0,0,219500,225000
Raipur,Chandwad,24.68,Black_Red_Mixed,7,Agricultural,1,0,83,29.9,Well,3,4,0,70500,80000
Malegaon,Sinnar,12.44,Black,8,Residential,1,0,13,14,River,4,4,1,335000,357500
Trimbak Road,Nashik,8.9,Red,4,Agricultural,0,0,18,9.3,Canal,6,0,0,454000,435500
Nandur,Nashik,18.18,Black_Red_Mixed,5,Residential,0,1,96,14.4,Well,1,5,0,1032500,967500
Kasbe Sukene,Niphad,22.33,Black_Red_Mixed,7,Agricultural,1,1,17,25.1,Borewell,6,4,0,261500,270500
Karanjwan,Niphad,20.04,Red,5,Agricultural,0,1,53,29.5,Canal,3,4,0,207000,188000
Chandori,Niphad,21.65,Red,5,Residential,0,0,40,11.2,River,5,1,0,514000,580000
Devpur,Niphad,19.68,Red,3,Agricultural,0,1,74,4.7,Well,8,5,1,151000,163500
Trimbak Road,Nashik,3.8,Red,7,NA,0,1,68,11.7,None,2,0,0,716000,692500
Kasarwadi,Niphad,21.83,Black,7,Agricultural,1,1,12,17.4,Well,4,2,0,274500,241500
Waghad,Nashik,8.15,Black_Red_Mixed,5,Agricultural,0,0,89,16.8,Borewell,9,2,0,396500,434000
Anandwalli,Nashik,14.46,Black,9,NA,0,1,26,1,None,1,0,0,938500,931000
Pimpalgaon Baswant,Niphad,4.68,Black_Red_Mixed,8,NA,0,1,95,24.3,Borewell,8,4,0,446000,484500
Shedbol,Yeola,2.66,Black,10,Agricultural,1,0,88,7.8,Well,3,5,1,85500,76000
Trimbak Road,Nashik,11.47,Black,10,Agricultural,1,1,46,23.1,Canal,3,4,0,656500,629000
Pachegaon,Yeola,8.32,Black_Red_Mixed,7,Agricultural,1,1,89,7.4,Borewell,8,3,0,135500,135500
Darna,Niphad,10.92,Red,7,Residential,1,0,94,20.1,River,10,3,0,562500,564500
Mungse,Sinnar,13.99,Red,4,Agricultural,1,1,97,24.4,River,7,2,0,220000,213000
Wadivarhe,Sinnar,5.64,Black,7,Residential,1,1,47,11.8,Canal,4,1,0,600000,600000
Panchak,Nashik,19.91,Black_Red_Mixed,8,Residential,1,1,84,0.3,None,7,1,1,1264500,1170000
Bhojapur,Niphad,24.21,Black,9,Agricultural,0,0,65,21.1,Well,6,5,0,168500,167000
Waghad,Nashik,5.48,Black,8,Agricultural,1,1,63,4.7,None,3,1,0,529000,533500
Pandavleni,Sinnar,18.1,Black_Red_Mixed,8,Commercial,0,0,63,25.8,None,10,3,0,446500,462500
Vadgaon,Nashik,13.91,Black_Red_Mixed,7,Agricultural,1,0,73,25.4,Borewell,9,2,0,532500,559000
Chandanpuri,Sinnar,1.08,Black,10,Residential,0,1,98,2.5,River,9,2,0,600000,553000
Kasarwadi,Niphad,2.44,Black_Red_Mixed,5,NA,1,1,88,1.7,Well,1,3,0,640500,571500
Kelzar,Chandwad,18.41,Black_Red_Mixed,7,Agricultural,0,1,48,21.8,Canal,1,5,0,69500,75500
Lasalgaon,Niphad,16.49,Black,7,Agricultural,0,1,45,7.6,Canal,5,2,0,287000,293500
Vadner,Niphad,22.78,Black_Red_Mixed,8,Agricultural,0,1,40,14.6,River,1,2,1,215500,204000
Mohadi,Chandwad,23.37,Black,10,Residential,1,1,94,13.3,Canal,4,4,0,234000,250000
Pathardi,Nashik,18.95,Black,8,Agricultural,1,1,78,7.1,Canal,7,3,0,762000,768000
Umbarkhed,Sinnar,0.54,Red,6,Agricultural,0,1,15,3,Canal,6,3,0,209500,227000
Pale,Sinnar,8.54,Black,7,Agricultural,1,1,96,22.5,River,10,1,0,264000,265000
Mulegaon,Sinnar,8,Black,7,Residential,0,0,23,20.6,Well,5,2,0,350000,400500
Palkhed,Niphad,1.66,Black_Red_Mixed,6,Commercial,1,1,25,2.7,Canal,7,5,0,1162500,1305500
Mulegaon,Sinnar,22.43,Black_Red_Mixed,7,Agricultural,1,0,68,27.7,Borewell,7,5,1,135000,132500
Nampur,Yeola,6.62,Red,5,Residential,1,1,17,7.8,River,3,3,0,241000,257500
Kalwan,Chandwad,15.35,Black,10,Agricultural,1,1,88,19.3,None,5,0,0,84500,88500
Abhona,Niphad,19.49,Black,10,Agricultural,1,1,95,11.8,Borewell,6,3,0,359000,393500
Malegaon,Sinnar,12.08,Black_Red_Mixed,5,Agricultural,0,1,71,3.7,Canal,6,2,0,220500,205500
Satpur,Nashik,9.29,Red,5,Agricultural,1,1,92,6.2,Canal,7,5,0,614500,644000
Saikheda,Sinnar,15.86,Black,7,Residential,1,0,14,5.9,River,10,1,0,512500,550500
Bhojapur,Niphad,16.17,Black_Red_Mixed,8,Commercial,0,1,53,23.7,Borewell,2,1,1,933500,818500
Shirsathe,Sinnar,23.52,Red,7,Agricultural,1,1,14,22.1,Well,1,3,1,156500,143500
Wadangali,Sinnar,17.61,Black,8,NA,1,1,22,13.7,Borewell,10,0,1,501000,429500
Watane,Niphad,14.98,Black_Red_Mixed,5,Residential,1,1,96,12.1,Borewell,10,4,0,560000,549500
Karanjkhed,Yeola,19.16,Black_Red_Mixed,7,Agricultural,0,1,31,20.9,Canal,8,1,1,87500,92000
Chandori,Niphad,19.83,Black_Red_Mixed,8,Residential,0,1,10,0.3,None,10,2,0,515000,569000
Umrane,Yeola,17.39,Black,9,Agricultural,1,1,88,20.8,Canal,8,4,1,109000,109500
Tarsa,Sinnar,8.86,Black,8,Agricultural,1,1,89,10.9,River,9,4,0,247000,275000
Karanjkhed,Yeola,7.09,Black,8,NA,1,1,32,4.9,None,1,5,0,156000,141000
Abhona,Niphad,8.52,Red,6,Agricultural,1,1,32,4.8,Borewell,9,0,0,382000,336500
Ozar,Nashik,14.92,Black,8,Residential,1,0,24,9.9,Borewell,7,1,0,1456000,1450500
Kotamgaon,Nashik,14.73,Black,10,Agricultural,1,1,59,11.3,Well,4,5,0,562000,577000
Trimbak Road,Nashik,3.4,Black_Red_Mixed,5,Agricultural,0,1,63,5.2,Well,5,4,0,420500,419500
Wakad,Yeola,22.66,Black_Red_Mixed,6,Agricultural,1,1,37,17.8,River,5,0,0,137000,117000
Vithapur,Yeola,6.38,Black_Red_Mixed,6,Residential,1,0,83,27,Well,1,0,1,179500,178500
Dhodambe,Yeola,1.08,Black_Red_Mixed,8,Residential,1,0,73,7.3,Canal,1,5,0,228000,207000
Uchit,Chandwad,9.12,Black,7,Agricultural,1,0,68,25.8,River,1,3,0,85000,89000
Pimpalgaon Baswant,Niphad,4.83,Red,6,Residential,0,1,59,26.8,Well,1,2,0,509000,522000
Girnare,Nashik,13.68,Red,3,NA,0,1,75,28.4,Canal,1,0,0,962000,898500
Deolali,Nashik,9.3,Black,7,NA,1,0,52,7.2,Borewell,8,5,1,783500,755500
Kherwadi,Sinnar,18.89,Red,5,Agricultural,0,1,45,1.7,Well,8,3,0,180500,167000
Umrane,Yeola,17.82,Black_Red_Mixed,7,Agricultural,1,1,98,24.3,None,2,1,1,72000,71500
Satpur,Nashik,9.92,Black,7,Agricultural,0,1,73,4.6,Borewell,1,2,0,575500,614000
Pandavleni,Sinnar,11.98,Black_Red_Mixed,5,Agricultural,0,1,39,25.1,Canal,6,3,0,164000,152500
Mungse,Sinnar,12.28,Black_Red_Mixed,8,Agricultural,1,1,49,5.2,Borewell,8,2,1,230500,238500
Manur,Yeola,3.92,Black,8,NA,0,1,33,29.2,River,3,1,0,207500,200000
Karanjwan,Niphad,14.47,Black_Red_Mixed,7,Agricultural,1,0,50,29.3,Borewell,8,4,1,188000,177500
Saikheda,Sinnar,23.03,Black_Red_Mixed,8,Residential,1,1,29,0.2,River,9,2,0,600000,595500
Anandwalli,Nashik,24.25,Red,7,NA,1,1,66,10.2,Borewell,8,0,0,1446500,1341500
Tarsa,Sinnar,0.86,Black_Red_Mixed,6,Agricultural,0,0,92,5.9,Canal,5,1,0,202500,194500
Shirsathe,Sinnar,17.01,Red,7,Agricultural,1,1,75,28.3,None,6,3,0,143000,131000
Deher,Chandwad,9.81,Black,9,Agricultural,1,1,21,6.5,None,7,3,0,74000,84000
Khamgaon,Yeola,18.28,Black_Red_Mixed,5,Agricultural,0,1,77,29.6,Borewell,10,3,0,83000,83000
Pathardi,Nashik,10.51,Black_Red_Mixed,6,Agricultural,1,0,72,1.4,River,10,2,0,701000,666500
Vithapur,Yeola,0.91,Black,9,Agricultural,1,1,25,19.6,None,7,1,0,89500,91000
Wadangali,Sinnar,0.95,Red,6,Commercial,0,1,84,14.5,Well,5,5,0,613500,608500
Nandgaon,Chandwad,9.49,Black_Red_Mixed,5,Residential,0,0,50,13.9,Canal,6,1,0,170500,168000
Peth,Nashik,1.46,Black,7,Agricultural,1,0,22,18,Borewell,6,2,1,422500,440500
Tarsa,Sinnar,6.97,Black_Red_Mixed,7,Agricultural,1,1,11,4.2,Borewell,8,3,0,251500,265000
Nandgaon,Chandwad,5.64,Black_Red_Mixed,6,Residential,1,1,77,25.4,River,2,3,0,197000,189500
Vinchur,Niphad,23.1,Black_Red_Mixed,7,NA,0,1,86,15.7,None,3,5,0,266000,255500
Pachegaon,Yeola,5.75,Red,4,NA,0,0,20,12.8,River,2,0,0,162500,159500
Vadgaon,Nashik,1.3,Black,7,Agricultural,1,0,48,20.1,River,2,4,0,488000,409500
Pimpalgaon Dohe,Chandwad,16.85,Black,8,Residential,1,1,54,10.6,None,10,1,0,152000,136000
Darna,Niphad,19.14,Black_Red_Mixed,6,Commercial,0,1,10,29.2,Borewell,4,4,1,696000,762500
Panchak,Nashik,4.83,Black_Red_Mixed,5,Agricultural,1,1,37,15.5,Well,6,0,0,583500,650500
Malegaon,Sinnar,19.12,Black_Red_Mixed,5,Agricultural,1,1,68,18.1,Well,8,1,0,211000,207500
Vadgaon,Nashik,4.92,Black,10,Commercial,1,0,96,14.8,Borewell,8,4,0,2849500,2964500
Vinchur,Niphad,10.02,Black_Red_Mixed,5,Residential,1,0,56,29.3,Well,10,3,0,432500,442000
Umrane,Yeola,7.14,Black_Red_Mixed,7,Residential,1,1,55,14.3,Canal,7,3,0,266500,300000
Kasbe Sukene,Niphad,2.92,Black,10,Agricultural,1,0,16,24.9,Well,1,1,0,269000,290000
Pandavleni,Sinnar,7.74,Black_Red_Mixed,5,NA,1,1,69,6.1,Canal,8,4,0,542500,537500
Waghad,Nashik,13.78,Red,3,Commercial,1,0,67,9.5,Well,8,0,0,2443000,2279500
Tarsa,Sinnar,22.15,Black,10,Agricultural,1,1,24,17.1,Well,9,5,0,194500,172500
Waghad,Nashik,21.4,Black_Red_Mixed,8,Agricultural,1,1,96,10.6,None,6,0,0,519500,527000
Devpur,Niphad,8.88,Black_Red_Mixed,5,Residential,1,1,64,10.4,Well,6,0,0,628500,595000
Anandwalli,Nashik,14.92,Red,3,Residential,0,0,78,9.9,Well,7,4,0,878000,790500
Nashik Road,Nashik,17.47,Black_Red_Mixed,7,Agricultural,1,1,72,3.1,Canal,6,3,0,796000,760000
Nampur,Yeola,4.37,Black,10,Agricultural,1,1,19,25.2,Canal,5,2,0,143000,132000
Saptashringi,Chandwad,20.16,Black_Red_Mixed,5,Residential,1,1,44,2.1,River,8,3,0,230500,250000
Nimgaon,Yeola,12.74,Black,9,Agricultural,1,1,68,20.2,Canal,1,5,0,122500,130000
Kelzar,Chandwad,12.61,Black_Red_Mixed,8,Agricultural,1,1,65,28,River,1,4,0,96000,96000
Adgaon,Nashik,3.97,Black_Red_Mixed,7,Residential,1,1,18,19.1,River,5,2,0,1546500,1706500
Girnare,Nashik,6.09,Black,8,Agricultural,0,1,69,14.6,None,7,5,1,230500,231500
Abhona,Niphad,3.63,Black,9,NA,0,1,72,23.5,Borewell,2,2,0,510000,479500
Pimpri Kadu,Chandwad,22.45,Black_Red_Mixed,5,Agricultural,1,1,40,3.4,River,2,4,0,103500,114500
Khambale,Sinnar,6.48,Red,4,NA,1,1,84,22.1,River,4,3,0,474500,492500
Ozar,Niphad,24.26,Black_Red_Mixed,7,Residential,0,1,99,28.5,Well,7,3,0,519500,482000
Uchit,Chandwad,9.23,Black_Red_Mixed,7,Agricultural,1,1,94,24,Borewell,4,2,0,103000,101500
Peth,Nashik,22.6,Black_Red_Mixed,6,Residential,1,1,60,27.8,None,5,0,1,875500,822000
Nimgaon,Yeola,5.46,Red,6,NA,1,1,62,23.7,Borewell,2,3,0,221000,199500
Trimbak Road,Nashik,18.01,Red,3,Residential,1,1,55,12.7,River,9,5,0,1153000,1228000
Nandur Madhyameshwar,Sinnar,16.12,Black,10,Residential,0,1,90,9.2,Canal,2,1,0,600000,600000
Shirasgaon,Yeola,21.21,Black_Red_Mixed,7,Agricultural,1,0,32,20.7,River,5,1,0,113500,102500
Nandur,Nashik,21.94,Red,7,Agricultural,1,1,92,18.4,Borewell,2,3,0,610500,634500
Pimpalgaon Rotha,Yeola,1.48,Black_Red_Mixed,7,Agricultural,1,0,82,3.6,River,7,3,1,107500,102500
Adgaon,Nashik,17.91,Black,9,Agricultural,1,0,36,18,None,5,5,0,307000,296500
Vadgaon,Nashik,19.86,Black,9,Agricultural,1,0,84,20.6,Well,1,3,0,508000,487000
Nandur,Nashik,17.25,Black_Red_Mixed,8,Residential,0,0,17,1.7,None,8,2,1,810000,761000
Mohadi,Chandwad,17.81,Red,3,Agricultural,1,1,60,20.2,Borewell,9,0,0,95000,95500
